&a / °	I1 / %
0.353	6.4
0.348	6.4
0.342	6.4
0.337	6.4
0.332	6.4
0.326	6.4
0.321	6.4
0.316	6.4
0.310	6.4
0.305	6.4
0.299	6.4
0.294	6.4
0.289	6.4
0.283	6.4
0.278	6.4
0.273	6.4
0.267	6.4
0.262	6.4
0.257	6.4
0.251	6.4
0.246	6.4
0.241	6.4
0.235	6.4
0.230	6.4
0.225	6.4
0.219	6.4
0.214	6.8
0.209	6.8
0.203	6.8
0.198	6.8
0.193	6.8
0.187	6.8
0.182	6.8
0.176	6.8
0.171	6.8
0.166	6.8
0.160	6.8
0.155	6.8
0.150	6.8
0.144	6.8
0.139	6.8
0.134	6.8
0.128	6.8
0.123	6.8
0.118	6.8
0.112	7.2
0.107	7.2
0.102	7.2
0.096	7.2
0.091	7.2
0.086	7.2
0.080	7.2
0.075	7.2
0.070	7.2
0.064	7.2
0.059	7.2
0.053	7.2
0.048	7.2
0.043	7.2
0.037	7.2
0.032	7.2
0.027	7.2
0.021	7.2
0.016	7.2
0.011	7.2
0.005	7.2
0.000	7.2
-0.005	7.2
-0.011	7.2
-0.016	7.2
-0.021	7.2
-0.027	7.2
-0.032	7.2
-0.037	7.2
-0.043	7.2
-0.048	7.2
-0.053	7.2
-0.059	7.2
-0.064	7.2
-0.070	7.2
-0.075	7.2
-0.080	7.2
-0.086	7.2
-0.091	7.2
-0.096	7.2
-0.102	7.2
-0.107	7.2
-0.112	6.8
-0.118	6.8
-0.123	6.8
-0.128	6.4
-0.134	6.4
-0.139	6.4
-0.144	6.4
-0.150	6.4
-0.155	6.4
-0.160	6.4
-0.166	6.4
-0.171	6.4
-0.176	6.4
-0.182	6.4
-0.187	6.4
-0.193	6.4
-0.198	6.4
-0.203	6.4
-0.209	6.4
-0.214	6.4
-0.219	6.4
-0.225	6.4
-0.230	6.4
-0.235	6.4
-0.241	6.4
-0.246	6.4
-0.251	6.4
-0.257	6.4
-0.262	6.4
-0.267	6.4
-0.273	6.4
-0.278	6.4
-0.283	6.4
-0.289	6.4
-0.294	6.4
-0.299	6.4
-0.305	6.4
-0.310	6.4
-0.316	6.4
-0.321	6.4
-0.326	6.4
-0.332	6.4
-0.337	6.8
-0.342	6.8
-0.348	6.8
-0.353	6.8
-0.358	6.8
-0.364	6.8
-0.369	6.8
-0.374	6.8
-0.380	6.8
-0.385	7.2
-0.390	7.2
-0.396	7.2
-0.401	7.6
-0.406	7.6
-0.412	8.0
-0.417	8.0
-0.422	8.4
-0.428	8.8
-0.433	8.8
-0.438	9.2
-0.444	9.2
-0.449	9.6
-0.455	10.0
-0.460	10.4
-0.465	10.4
-0.471	10.8
-0.476	11.2
-0.481	11.6
-0.487	12.0
-0.492	12.4
-0.497	12.8
-0.503	13.2
-0.508	14.0
-0.513	14.8
-0.519	16.0
-0.524	17.2
-0.529	18.4
-0.535	19.6
-0.540	21.2
-0.545	22.4
-0.551	24.0
-0.556	25.2
-0.561	26.8
-0.567	28.0
-0.572	29.2
-0.578	30.4
-0.583	31.6
-0.588	33.2
-0.594	34.4
-0.599	35.2
-0.604	36.0
-0.610	36.4
-0.615	36.8
-0.620	36.8
-0.626	36.4
-0.631	36.4
-0.636	36.0
-0.642	36.0
-0.647	36.8
-0.652	37.6
-0.658	38.4
-0.663	39.2
-0.668	40.0
-0.674	41.2
-0.679	42.0
-0.684	42.4
-0.690	42.4
-0.695	42.0
-0.701	40.8
-0.706	39.2
-0.711	37.6
-0.717	35.6
-0.722	33.6
-0.727	32.0
-0.733	30.8
-0.738	29.6
-0.743	28.8
-0.749	28.0
-0.754	27.2
-0.759	26.8
-0.765	26.4
-0.770	25.6
-0.775	24.4
-0.781	22.8
-0.786	21.2
-0.791	19.2
-0.797	17.6
-0.802	15.6
-0.807	14.0
-0.813	12.8
-0.818	11.6
-0.823	10.4
-0.829	9.6
-0.834	8.8
-0.840	8.4
-0.845	8.0
-0.850	7.6
-0.856	7.2
-0.861	7.2
-0.866	6.8
-0.872	6.8
