#&a / °	I1 / %
0.037	28.4
0.032	28.4
0.027	28.4
0.021	28.4
0.016	28.4
0.011	28.4
0.005	28.4
0.000	28.0
-0.005	28.0
-0.011	27.6
-0.016	27.6
-0.021	27.6
-0.027	27.6
-0.032	27.2
-0.037	26.8
-0.043	26.8
-0.048	26.4
-0.053	26.0
-0.059	25.6
-0.064	25.2
-0.070	25.2
-0.075	24.8
-0.080	24.4
-0.086	24.0
-0.091	23.6
-0.096	23.2
-0.102	22.8
-0.107	22.4
-0.112	22.0
-0.118	21.2
-0.123	20.8
-0.128	20.4
-0.134	20.0
-0.139	20.0
-0.144	20.0
-0.150	19.6
-0.155	19.6
-0.160	19.2
-0.166	18.8
-0.171	18.4
-0.176	18.0
-0.182	18.0
-0.187	17.6
-0.193	17.2
-0.198	17.2
-0.203	17.2
-0.209	16.8
-0.214	16.8
-0.219	16.4
-0.225	16.4
-0.230	16.4
-0.235	16.0
-0.241	16.0
-0.246	16.0
-0.251	16.0
-0.257	15.6
-0.262	15.6
-0.267	15.6
-0.273	15.6
-0.278	15.6
-0.283	15.6
-0.289	15.2
-0.294	15.2
-0.299	15.2
-0.305	15.2
-0.310	15.2
-0.316	15.2
-0.321	15.2
-0.326	15.6
-0.332	15.6
-0.337	15.6
-0.342	16.0
-0.348	16.4
-0.353	16.4
-0.358	16.4
-0.364	16.8
-0.369	16.8
-0.374	16.8
-0.380	17.2
-0.385	17.6
-0.390	18.0
-0.396	18.8
-0.401	19.6
-0.406	20.0
-0.412	20.8
-0.417	21.2
-0.422	22.0
-0.428	22.8
-0.433	24.0
-0.438	25.2
-0.444	26.4
-0.449	27.6
-0.455	28.8
-0.460	30.4
-0.465	32.0
-0.471	33.6
-0.476	35.6
-0.481	37.6
-0.487	39.2
-0.492	40.8
-0.497	42.0
-0.503	43.2
-0.508	44.4
-0.513	46.0
-0.519	48.4
-0.524	50.0
-0.529	51.6
-0.535	52.4
-0.540	52.4
-0.545	52.0
-0.551	50.8
-0.556	49.2
-0.561	47.6
-0.567	45.6
-0.572	44.0
-0.578	42.4
-0.583	40.8
-0.588	40.0
-0.594	39.6
-0.599	39.6
-0.604	39.6
-0.610	40.0
-0.615	40.8
-0.620	41.6
-0.626	42.4
-0.631	43.6
-0.636	45.2
-0.642	47.6
-0.647	50.0
-0.652	52.4
-0.658	54.4
-0.663	56.4
-0.668	58.8
-0.674	60.8
-0.679	62.4
-0.684	63.6
-0.690	64.0
-0.695	64.0
-0.701	63.2
-0.706	61.2
-0.711	58.4
-0.717	55.2
-0.722	52.0
-0.727	48.8
-0.733	45.6
-0.738	42.8
-0.743	40.4
-0.749	38.8
-0.754	37.6
-0.759	36.4
-0.765	36.0
-0.770	35.6
-0.775	35.6
-0.781	35.6
-0.786	36.0
-0.791	36.4
-0.797	36.8
-0.802	37.6
-0.807	38.4
-0.813	38.8
-0.818	39.6
-0.823	39.6
-0.829	38.8
-0.834	37.6
-0.840	35.2
-0.845	32.4
-0.850	30.0
-0.856	27.2
-0.861	24.8
-0.866	22.4
-0.872	20.4
-0.877	18.8
-0.882	17.6
-0.888	16.8
-0.893	16.4
-0.898	16.0
-0.904	15.6
-0.909	15.6
-0.914	15.6
-0.920	15.6
-0.925	15.6
-0.930	16.0
-0.936	16.4
-0.941	16.8
-0.946	17.6
-0.952	18.4
-0.957	19.6
-0.962	21.2
-0.968	23.2
-0.973	25.2
-0.979	28.0
-0.984	30.8
-0.989	34.4
-0.995	38.0
-1.000	41.6
-1.005	44.8
-1.011	48.0
-1.016	49.6
-1.021	50.0
-1.027	49.6
-1.032	48.0
-1.037	45.6
-1.043	43.6
-1.048	41.6
-1.053	40.4
-1.059	40.4
-1.064	41.2
-1.069	42.8
-1.075	44.8
-1.080	46.8
-1.085	49.6
-1.091	52.4
-1.096	55.6
-1.101	58.4
-1.107	60.4
-1.112	61.6
-1.118	60.8
-1.123	58.0
-1.128	54.0
-1.134	49.6
-1.139	45.6
-1.144	42.0
-1.150	39.2
-1.155	37.2
-1.160	36.0
-1.166	35.2
-1.171	34.8
-1.176	35.2
-1.182	35.6
-1.187	36.4
-1.192	37.6
-1.198	38.0
-1.203	37.6
-1.208	35.6
-1.214	32.8
-1.219	29.2
-1.224	26.0
-1.230	22.8
-1.235	20.4
-1.240	18.8
-1.246	17.2
-1.251	16.4
-1.256	16.0
-1.262	15.6
-1.267	15.6
-1.273	16.0
-1.278	16.4
-1.283	17.2
-1.289	18.4
-1.294	19.6
-1.299	21.6
-1.305	24.0
-1.310	26.8
-1.315	30.4
-1.321	34.4
-1.326	38.4
-1.331	42.8
-1.337	46.0
-1.342	48.0
-1.347	48.4
-1.353	46.8
-1.358	44.8
-1.363	42.8
-1.369	41.2
-1.374	41.2
-1.379	42.0
-1.385	43.6
-1.390	46.4
-1.395	49.6
-1.401	52.8
-1.406	56.4
-1.411	59.2
-1.417	59.6
-1.422	58.0
-1.428	54.0
-1.433	49.2
-1.438	44.0
-1.444	40.0
-1.449	37.2
-1.454	35.2
-1.460	34.4
-1.465	34.0
-1.470	34.8
-1.476	35.6
