#&a / °	I1 / %
0.032	6.0
0.027	6.0
0.021	6.0
0.016	6.0
0.011	6.0
0.005	6.0
0.000	6.0
-0.005	6.0
-0.011	6.0
-0.016	6.0
-0.021	6.0
-0.027	6.0
-0.032	6.0
-0.037	6.0
-0.043	6.0
-0.048	6.0
-0.053	6.0
-0.059	6.0
-0.064	6.0
-0.070	6.0
-0.075	6.0
-0.080	6.0
-0.086	6.0
-0.091	6.0
-0.096	6.0
-0.102	5.6
-0.107	5.6
-0.112	5.6
-0.118	5.6
-0.123	5.6
-0.128	5.2
-0.134	5.2
-0.139	5.2
-0.144	5.2
-0.150	5.2
-0.155	5.2
-0.160	5.2
-0.166	5.2
-0.171	5.2
-0.176	5.2
-0.182	5.2
-0.187	5.2
-0.193	5.2
-0.198	5.2
-0.203	5.2
-0.209	5.2
-0.214	5.2
-0.219	5.2
-0.225	5.2
-0.230	5.2
-0.235	5.2
-0.241	5.2
-0.246	5.2
-0.251	5.2
-0.257	5.2
-0.262	5.2
-0.267	5.2
-0.273	5.2
-0.278	5.2
-0.283	5.2
-0.289	5.2
-0.294	5.2
-0.299	5.2
-0.305	5.2
-0.310	5.2
-0.316	5.2
-0.321	5.6
-0.326	5.6
-0.332	5.6
-0.337	5.6
-0.342	5.6
-0.348	5.6
-0.353	5.6
-0.358	6.0
-0.364	6.0
-0.369	6.0
-0.374	6.0
-0.380	6.0
-0.385	6.0
-0.390	6.0
-0.396	6.0
-0.401	6.4
-0.406	6.4
-0.412	6.4
-0.417	6.4
-0.422	6.8
-0.428	6.8
-0.433	7.2
-0.438	7.2
-0.444	7.6
-0.449	7.6
-0.455	8.0
-0.460	8.0
-0.465	8.4
-0.471	8.8
-0.476	9.2
-0.481	9.2
-0.487	9.6
-0.492	10.0
-0.497	10.4
-0.503	10.4
-0.508	10.8
-0.513	11.2
-0.519	12.0
-0.524	12.8
-0.529	14.0
-0.535	14.8
-0.540	16.0
-0.545	16.8
-0.551	17.6
-0.556	18.8
-0.561	20.0
-0.567	21.2
-0.572	22.4
-0.578	23.6
-0.583	25.2
-0.588	26.8
-0.594	28.4
-0.599	30.0
-0.604	31.6
-0.610	33.2
-0.615	34.4
-0.620	35.2
-0.626	36.0
-0.631	36.4
-0.636	36.8
-0.642	37.6
-0.647	38.4
-0.652	38.8
-0.658	39.2
-0.663	39.2
-0.668	39.6
-0.674	40.0
-0.679	40.4
-0.684	40.4
-0.690	40.4
-0.695	39.6
-0.701	38.4
-0.706	37.2
-0.711	36.0
-0.717	34.0
-0.722	32.4
-0.727	30.8
-0.733	29.6
-0.738	28.0
-0.743	26.8
-0.749	25.6
-0.754	24.4
-0.759	22.8
-0.765	21.2
-0.770	19.2
-0.775	17.6
-0.781	15.6
-0.786	14.0
-0.791	12.4
-0.797	11.2
-0.802	10.4
-0.807	9.6
-0.813	8.8
-0.818	8.0
-0.823	7.6
-0.829	7.2
-0.834	6.8
-0.840	6.4
-0.845	6.4
-0.850	6.4
-0.856	6.0
-0.861	5.6
-0.866	5.6
-0.872	5.6
-0.877	5.6
-0.882	5.6
-0.888	5.6
-0.893	5.6
-0.898	5.6
-0.904	5.6
-0.909	5.6
-0.914	5.6
-0.920	5.6
-0.925	5.6
-0.930	5.6
-0.936	5.6
-0.941	6.0
-0.946	6.0
-0.952	6.0
-0.957	6.4
-0.962	6.8
-0.968	7.2
-0.973	7.6
-0.979	8.0
-0.984	8.4
-0.989	8.8
-0.995	9.6
-1.000	10.0
-1.005	11.2
-1.011	12.4
-1.016	14.0
-1.021	15.6
-1.027	17.2
-1.032	19.2
-1.037	21.2
-1.043	23.6
-1.048	26.0
-1.053	28.8
-1.059	31.2
-1.064	33.6
-1.069	35.6
-1.075	36.8
-1.080	37.6
-1.085	38.0
-1.091	38.4
-1.096	38.4
-1.101	38.8
-1.107	38.8
-1.112	38.4
-1.118	37.2
-1.123	35.2
-1.128	32.8
-1.134	30.8
-1.139	28.8
-1.144	26.8
-1.150	24.8
-1.155	22.8
-1.160	20.4
-1.166	17.6
-1.171	15.2
-1.176	12.8
-1.182	11.2
-1.187	10.0
-1.192	9.2
-1.198	8.0
